,Grupo,Porcao,Lípidos (g) Porcao,Hidratos (g) Porcao,Proteínas (g) Porcao,Álcool (g) Porcao
0,Gorduras,10.0,5.3,0.5,1.1,0.0
1,Hidratos I,145.0,1.5,7.4,3.1,0.0
2,Hidratos II,30.0,1.2,14.6,2.2,0.0
3,Leguminosas,75.0,0.7,9.4,6.3,0.0
4,Outros,47.0,0.2,8.0,1.0,2.3
5,Proteínas,33.0,2.1,0.2,8.0,0.0
